id,type,name,address,
7833,dentist,Dr. M.T. Cosentino,Bloor Street West,
7834,social_facility,Polycultural Immigrant & Community Services,Bloor Street West,
7835,dentist,Orthodontics Studio @ Royal York,Bloor Street West,
7836,dentist,Kingsway Health Sciences,Bloor Street West,
7837,pharmacy,Cosmo Pharmacy,Bloor Street West,
7838,dentist,Kingsway Orthodontics,Bloor Street West,
7839,music_school,Orrett Music Academy,Bloor Street West,
7840,childcare,Treasured Moments Kids,Bloor Street West,
7841,fast_food,Sushi 2 Go,Bloor Street West,
7842,restaurant,Casa Barcelona,Bloor Street West,
7843,bank,Parama Credit Union,Bloor Street West,
7844,dentist,Kingsway Family Dentistry,Bloor Street West,
7845,doctors,Dr. Phillip C. Ho,Bloor Street West,
7846,doctors,Complete Balance Health Centre,Bloor Street West,
7847,cafe,Jules Cafe,Bloor Street West,
7848,doctors,Dr. B. Grygowski,Bloor Street West,
7849,clinic,Etobicoke Naturopathic Clinic,Bloor Street West,
7850,pharmacy,Meds,Bloor Street West,
7851,pub,The Old Sod,Bloor Street West,
7852,dentist,Thomas Vesz, Endodontist,Bloor Street West,
7853,veterinary,Prince Edward Animal Clinic,Bloor Street West,
7854,dentist,Orthodontics on Bloor,Bloor Street West,
7855,bank,CIBC,Royal York Road,
7856,restaurant,Joyous Thai Phaze 2,Royal York Road,
7857,kindergarten,Amazon Indoor Playground,Royal York Road,
7858,pharmacy,Drugtown Pharmacy,Royal York Road,
7859,dentist,JM Dental,Royal York Road,
7860,dentist,Jagan Dental Centre,Royal York Road,
7861,music_school,"A Sharp" School of Music,Royal York Road,
7862,dentist,Joanne M. Sellitto, RDH,Royal York Road,
7863,veterinary,Westway Animal Clinic,Royal York Road,
7864,fast_food,Mayflower Chinese Food,Royal York Road,
7865,fast_food,2 Bros Cuisine,Royal York Road,
7866,fast_food,Lan Sushi,Royal York Road,
7867,fast_food,Pizza Nova,Royal York Road,
7868,pharmacy,Trillium Drug Mart,Royal York Road,
7869,cafe,Second Cup,The Kingsway,
7870,dentist,Humbertown Orthodontics,The Kingsway,
7871,fast_food,Pasta Gourmet,The Kingsway,
7872,ice_cream,Baskin-Robbins,The Kingsway,
7873,restaurant,La Veranda Osteria,Royal York Road,
7874,clinic,Mimico MEdical,Royal York Road,
7875,restaurant,Breakfast Room,Royal York Road,
7876,dentist,Mimico Dental Hygiene,Royal York Road,
7877,restaurant,Mekong River,Dundas Street West,
7878,restaurant,Sushi Sumoboi,Dundas Street West,
7879,dentist,Dr. Maria Ana Marcelo,Dundas Street West,
7880,restaurant,Insadong,Dundas Street West,
7881,veterinary,Cloverdale Veterinary Hospital,Dundas Street West,
7882,dentist,Dental and Hygiene Clinic,Dundas Street West,
7883,fast_food,Good Grains,Dundas Street West,
7884,driving_school,Aa-A Greenlight Driving School,La Rose Avenue,
7885,dentist,JW Dental Lab,La Rose Avenue,
7886,pharmacy,La Rose Pharmacy,La Rose Avenue,
7887,cafe,Olga's Espresso Bar,La Rose Avenue,
7888,fast_food,Subway,La Rose Avenue,
7889,dentist,La Rose Dental,La Rose Avenue,
7890,fast_food,Pizza Pizza,La Rose Avenue,
7891,bank,RBC,La Rose Avenue,
7892,pharmacy,Metro Drugs,Scarlett Road,
7893,cafe,Bevo Espresso & Gelato Bar,Scarlett Road,
7894,dentist,Regency Dental,Scarlett Road,
7895,fast_food,Popeyes,Burnhamthorpe Road,
7896,cafe,Java Joe's,Islington Avenue,
7897,fast_food,Pizzaiolo,Islington Avenue,
7898,cafe,Timothy's,Wincott Drive,
7899,fast_food,Asian Express,Wincott Drive,
7900,dentist,Dr. Chiang,Wincott Drive,
7901,fast_food,Tasty Grill Shawarma,Wincott Drive,
7902,cafe,Starbucks,Lloyd Manor Road,
7903,prep_school,Olympiads School - Unit 282,Consumers Road,
7904,prep_school,Olympiads School Unit 336,Settlers Road,
7905,doctors,Queensway Chiropody,The Queensway,
7906,dentist,Six Points Dental,The Queensway,
7907,ice_cream,Pinkberry,The West Mall,
7908,cafe,Aroma Espresso Bar,The West Mall,
7909,restaurant,Union Chicken,The West Mall,
7910,fast_food,Brioche Dorée,The West Mall,
7911,fast_food,Danish Pastry House,The West Mall,
7912,fast_food,Mrs. Fields,The West Mall,
7913,bank,Scotiabank,The West Mall,
7914,training,Aveda,The West Mall,
7915,fast_food,Freshly Squeezed,The West Mall,
7916,cafe,Second Cup,The West Mall,
7917,fast_food,Kernels Popcorn,The West Mall,
7918,fast_food,Crepe Delicious,The West Mall,
7919,ice_cream,Yogen Früz,The West Mall,
7920,fast_food,Umi Sushi Express,The West Mall,
7921,fast_food,Bourbon St. Grill,The West Mall,
7922,fast_food,Chipotle,The West Mall,
7923,food_court,Gourmet Fare,The West Mall,
7924,fast_food,Big Smoke Burger,The West Mall,
7925,fast_food,Pi Co.,The West Mall,
7926,fast_food,Teriyaki Experience,The West Mall,
7927,fast_food,Thaï Express,The West Mall,
7928,fast_food,McDonald's,The West Mall,
7929,fast_food,Jimmy the Greek,The West Mall,
7930,fast_food,Szechuan Express,The West Mall,
7931,fast_food,New York Fries,The West Mall,
7932,fast_food,Amaya Express,The West Mall,
7933,cafe,Tim Hortons,The West Mall,
7934,fast_food,Cultures,The West Mall,
7935,fast_food,Chelowich,Roncesvalles Avenue,
7936,fast_food,The Whole Plate,Roncesvalles Avenue,
7937,dentist,Roncy Dental Studio,Roncesvalles Avenue,
7938,fast_food,Tobiko,Roncesvalles Avenue,
7939,cafe,am bagel,Roncesvalles Avenue,
7940,pharmacy,B&A Medical Pharmacy,Roncesvalles Avenue,
7941,prep_school,Kumon,Roncesvalles Avenue,
7942,restaurant,South Indian Dosa Mahal,Roncesvalles Avenue,
7943,fast_food,Utopia Waffle,Roncesvalles Avenue,
