id,type,name,address,
132,clothes,Fantasy Fashion Boutique Lingerie & Intimate Apparel,St Clair Avenue East,
133,florist,Say it with a Rose,St Clair Avenue East,
134,funeral_directors,Rosar Morrison Funeral Home & Chapel,Sherbourne Street,
135,convenience,Sam's Food Store,Sherbourne Street,
136,furniture,EQ3 Toronto King - Modern Furniture,King Street East,
137,supermarket,Rabba,Front Street East,
138,convenience,Time Square Convenience,Front Street East,
139,alcohol,LCBO,Front Street East,
140,vacant,Starbucks,Front Street East,
141,convenience,International News,Front Street East,
142,cannabis,Canna Cabana,Front Street East,
143,shoes,Mila's Fine Footwear,Front Street East,
144,supermarket,FreshCo,Lawrence Avenue East,
145,bicycle,Urbane Cyclist,College Street,
146,supermarket,Bestco Food Mart,Martin Grove Road,
147,vacant,Esso,Lake Shore Boulevard West,
148,optician,Public Optical,Lawrence Avenue East,
149,dry_cleaning,Dunn Cleaners,Dunn Avenue,
150,craft,Michaels,Warden Avenue,
151,supermarket,Loblaws,Bayview Avenue,
152,hairdresser,Goa Hair Salon,Bloor Street West,
153,pet,Bark & Meow Pet Supplies,Bloor Street West,
154,clothes,Nué,Bloor Street West,
155,supermarket,Bloor Meat & Grocery,Bloor Street West,
156,clothes,Risque Clothing,Bloor Street West,
157,gift,Gloria Fashion & Gifts,Bloor Street West,
158,books,Doug Miller Books,Bloor Street West,
159,health_food,Magic Health Food,Bloor Street West,
160,toys,Just You Sarah & Tom,Bloor Street West,
161,hairdresser,Lotte Beauty Salon/Lotte Hair Salon,Bloor Street West,
162,yes,Kimkor,Bloor Street West,
163,laundry;dry_cleaning,Bloor Laundromat Dry Cleaners,Bloor Street West,
164,supermarket,Village Market,Bloor Street West,
165,supermarket,Food Depot Supermarket,Sheppard Avenue East,
166,convenience,Super Stop,Thorncliffe Park Drive,
167,convenience,Super Stop,Don Mills Road,
168,convenience,Circle K,Don Mills Road,
169,books,Indigo,Yonge Street,
170,variety_store,Price War,Bloor Street West,
171,electronics,Apple Store,Yonge Street,
172,vacant,Old Navy,Yonge Street,
173,fitness_equipment,Fitness Depot,Bartley Drive,
174,supermarket,Loblaws,Yonge Street,
175,supermarket,H Mart,Yonge Street,
176,dry_cleaning,Nymark Cleaners,Leslie Street,
177,vacant,California Sandwiches,York Mills Road,
178,convenience,Wise Mart,Yonge Street,
179,gift,Write Impressions,Bayview Avenue,
180,alcohol,LCBO,Bayview Avenue,
181,supermarket,Metro,Yonge Street,
182,vacant,Mountain Coffee,Eglinton Avenue East,
183,photo,Henry's,Church Street,
184,interior_decoration,Kiondo African Imports Inc,Queen Street East,
185,vacant,Watson's Auto Centre,Queen Street East,
186,vacant,Dot Com Car Sales,Queen Street East,
187,car_repair,Fix Auto Collision,Queen Street East,
188,car_repair,Centre Honda Body Shop,Queen Street East,
189,photo,Downtown Camera,Queen Street East,
190,clothes,Urban Outfitters,Yonge Street,
191,clothes,Air Jordan,Yonge Street,
192,clothes,Boathouse,Yonge Street,
193,vacant,R. Hiscott Beauty & Theatrical Supplies,Yonge Street,
194,mobile_phone,Bell,Yonge Street,
195,cosmetics,Lush,Queen Street West,
196,clothes,Old Navy,Dufferin Street,
197,clothes,Old Navy,Lebovic Avenue,
198,department_store,Marshalls,Warden Avenue,
199,optician,Optical Trust,Warden Avenue,
200,hairdresser,First Choice Haircutters,Warden Avenue,
201,variety_store,Dollarama,Lebovic Avenue,
202,catering,Sayona Foods "Just Vegetarian",Claireville Drive,
203,optician,Hakim Optical Factory Outlet,Finch Avenue West,
204,car,Dufferin/Finch Auto Sales,Dufferin Street,
205,bakery,Papa Mio’s,Manning Avenue,
206,houseware,Urbinz Home Goods Store,Front Street East,
207,optician,The Optic Zone,Jarvis Street,
208,wine,Wine Rack,King Street East,
209,florist,Edible Arrangements,Adelaide Street East,
210,convenience,French Quarter Convenience & Grocery,Lombard Street,
211,beauty,Classic Nails & Spa,Dundas Street East,
212,music,Paramusic Records,Dundas Street East,
213,copyshop,Victoria Copy & Printing,Dundas Street East,
214,wine,Wine Rack,Dundas Street East,
215,car_repair,Canadian Tire Auto Repair,Albion Road,
216,car_repair,North Queen Auto Centre,North Queen Street,
217,convenience,Puwan Convenience Store,Sammon Avenue,
218,supermarket,Metro,Bathurst Street,
219,bed,Sleep Country,York Mills Road,
220,copyshop,Printing & Copying,Queens Quay West,
221,mobile_phone,Rogers,Queens Quay West,
222,supermarket,Valu-mart,Underhill Drive,
223,hairdresser,Donwood Men's Hairstylist,Underhill Drive,
224,car_repair,3 Valleys,Three Valleys Drive,
225,car_repair,Mr. Lube,Victoria Park Avenue,
226,supermarket,Rabba,Asquith Avenue,
227,supermarket,Foodland,Islington Avenue,
228,convenience,Sam's Milk & Variety Market,Birchmount Road,
229,supermarket,Sun Valley Foods,Danforth Road,
230,supermarket,Field Fresh Supermarket,Steeles Avenue East,
231,car,Toyota Lexus on the Park,Leslie Street,
232,bicycle,Cyclemania,Bloor Street West,
233,alcohol,LCBO,Bloor Street West,
234,hairdresser,Hair Focus,Don Mills Road,
235,houseware,Peppermills,Yonge Street,
236,convenience,Hasty Market,Bremner Boulevard,
237,supermarket,McEwan,Karl Fraser Road,
238,supermarket,Longo's,Elizabeth Street,
239,supermarket,Sao Miguel Grocery's LTD,Harvie Avenue,
240,money_lender,Money Mart,St. Clair Avenue West,
241,convenience,Jug Town,St. Clair Avenue West,
242,bakery,Nova Era,St. Clair Avenue West,
243,cannabis,Trees Cannabis,St. Clair Avenue West,
244,storage_rental,Smartstop Self Storage,Dufferin Street,
245,convenience,Alpha Variety,Logan Avenue,
246,convenience,Mary's Variety & Grocery Store,Broadview Avenue,
247,money_lender,Cash 4 You,Gerrard Street East,
248,convenience,Gardenview Convenience,Queen Street West,
249,hairdresser,Hair Sprung Salon & Esthetics,Dundas Street West,
250,houseware,High Park Appliances,Dundas Street West,
251,bakery,Solero Medditerranean Bakery,Dundas Street West,
252,clothes,Coal Miner's Daughter,Dundas Street West,
253,stationery,Take Note,Dundas Street West,
254,bicycle,Cyclemotive,Bathurst Street,
255,lighting,Living Lighting,Yonge Street,
256,convenience,Alex Convenience,Yonge Street,
257,toys,Mastermind Toys,Yonge Street,
258,convenience,Woodmount Variety,Woodmount Avenue,
259,convenience,Grange Green Farms,McCaul Street,
260,bicycle,Velotique,Queen Street East,
261,nutrition_supplements,Sensitiva,Queen Street West,
262,supermarket,Kitchen Table,King Street West,
263,food,Taro's Fish,Sheppard Avenue East,
264,hairdresser,The Underground,Sheppard Avenue East,
265,computer,Roncesvalles Apple Specialist,Roncesvalles Avenue,
266,books,She Said Boom,Roncesvalles Avenue,
267,hardware,Home Hardware,Roncesvalles Avenue,
268,books,A Good Read,Roncesvalles Avenue,
269,convenience,Master Supermarket,Roncesvalles Avenue,
270,books,Another Story Bookshop,Roncesvalles Avenue,
271,gift,Izibele,Roncesvalles Avenue,
272,supermarket,Maple Produce,Roncesvalles Avenue,
273,convenience,Jac's Milk,Roncesvalles Avenue,
274,supermarket,Sobeys Express,Roncesvalles Avenue,
275,clothes,Muttonhead Base Camp,Roncesvalles Avenue,
276,greengrocer,Ko Fruit Market,Roncesvalles Avenue,
277,greengrocer,Pearson Fruit Market,Roncesvalles Avenue,
278,supermarket,Rabba,Isabella Street,
279,books,She Said Boom,College Street,
280,bakery,HongKong Island Dim Sum House,Spadina Avenue,
281,cheese,Cheesyplace,Bloor Street West,
282,supermarket,Loblaws,St. Clair Avenue East,
283,vacant,Starbucks,Eglinton Avenue East,
284,vacant,La Latina,Eglinton Avenue East,
285,clothes,Zara,Queen Street West,
286,convenience,Rabba,Harrison Garden Boulevard,
287,variety_store,Super Discount Store,Eglinton Avenue East,
288,convenience,Markham Variety,Markham Road,
289,car_repair,Kavin 10 Min Oil Change,Kingston Road,
290,alcohol,LCBO,Avenue Road,
291,copyshop,Printland Digital Printing Solutions,Yonge Street,
292,convenience,Little Bee Mart,Annette Street,
293,laundry,King Coin Laundry,Bloor Street West,
294,supermarket,No Frills,King Street West,
295,convenience,Beach Convenience,Queen Street East,
296,bakery,Hot Oven Bakery,Bloor Street West,
297,beauty,The Ten Spot,Bloor Street West,
298,bakery,Danish Pastry Shop,Pape Avenue,
299,car_repair,John's Service,Gerrard Street East,
300,supermarket,Sobeys,Marlee Avenue,
301,convenience,Circle K,Dupont Street,
302,hearing_aids,Connect Hearing,Lawrence Avenue East,
303,hairdresser,Magicuts,Lawrence Avenue East,
304,cannabis,Spiritleaf,Lawrence Avenue East,
305,laundry,Magic Touch Coin Laundry,Bathurst Street,
306,convenience,A & T Fruit Market,Bathurst Street,
307,convenience,J's Variety,Yonge Street,
308,dry_cleaning,Urban Cleaners,Northtown Way,
309,beauty,Flirty Flowers Lash & Brow,Mount Pleasant Road,
310,massage,Hand & Stone Massage and Facial Spa,Lawrence Avenue East,
311,bakery,Lebanese Bakery,Birchmount Road,
312,greengrocer,Dick Young Market,Bedford Park Avenue,
313,shoes,Foot Locker,Sheppard Avenue East,
314,sports,Sporting Life,The West Mall,
315,electronics,Canada Computers & Electronics,Yonge Street,
316,convenience,Uncle Don's,Jones Avenue,
317,convenience,Wang's Variety,Pape Avenue,
318,sports,The Running Room,Yonge Street,
319,bakery,Petite THUET Artisan Bakery & Foods,King Street West,
320,video_games,Play N Trade Video Games,Dundas Street West,
321,convenience,International News,Dundas Street West,
322,travel_agency,Kompas Express Tour Operator,Bloor Street West,
323,convenience,Christie Convenience,Christie Street,
324,hairdresser,Big City Salon,Christie Street,
325,frame,Alternative Arts,Bloor Street West,
326,bed,Sleep Country,Bloor Street West,
327,graphics,Frames N' Graphics Retail & Wholesale,Bloor Street West,
328,kitchen,Knifewear,Bloor Street West,
329,optician,Glass Monocle,Bloor Street West,
330,vacant,Unicorn Caffee,Bloor Street West,
331,mobile_phone,Rogers,Yonge Street,
332,money_lender,Cash Money,Yonge Street,
333,shoes,Shoe Time,Yonge Street,
334,erotic,Cupid Boutique,Yonge Street,
335,alterations,Margo Tai??? Alterations,Yonge Street,
336,beauty,Nail's Attraction,Yonge Street,
337,bicycle,Rider's Cycle,Harbord Street,
338,laundry,376 Coin Laundry,Harbord Street,
339,hairdresser,Glassbox Barbershop,Harbord Street,
340,art,Rebecca Gallery,Grace Street,
341,laundry,Harbord Coin Wash,Harbord Street,
342,convenience,OJJJ's Variety,Harbord Street,
343,dry_cleaning,Simcoe Cleaner,Lower Simcoe Street,
344,signs,Sign-O-Rama,Bay Street,
345,supermarket,Pusateri's,Yorkville Avenue,
346,supermarket,Sobeys Urban Fresh,Balliol Street,
347,variety_store,Dollarama,Yonge Street,
348,bakery,Circles & Squares Bakery,Yonge Street,
349,convenience,October Convenience,Bloor Street West,
350,laundry,Bloor-Keele Coin Laundry,Bloor Street West,
351,fabric,Ram Upholstery,Jones Avenue,
352,herbalist,Noah's,Bloor Street West,
353,convenience,Rabba,Wellesley Street West,
354,bicycle,Wheels of Bloor,Bloor Street West,
355,dry_cleaning,Royal Dry Cleaners,Davenport Road,
356,cannabis,Spirit Leaf,Adelaide Street East,
357,supermarket,Longo's,Bloor Street East,
358,travel_agency,New Wave Travel,Bay Street,
359,supermarket,FreshCo,Parliament Street,
360,clothes,Banana Republic,Bloor Street West,
361,beauty,Adorn Studio,Danforth Avenue,
362,medical_supply,Davisville Home Healthcare,Yonge Street,
363,dry_cleaning,Westown Cleaners,Warden Avenue,
364,convenience,Warden Mart Dollar & Smoke Shop,Warden Avenue,
365,clothes,Old Navy,Borough Drive,
366,clothes,Anthropologie,Clock Tower Road,
367,greengrocer,Fresh Buy Market,Yonge Street,
368,money_lender,easyfinancial,Yonge Street,
369,music,Ring Music,Harbord Street,
370,books,Caversham Booksellers,Harbord Street,
371,hairdresser,Hutoshi & Cy's Hair & Skin Studio for Men & Women,Robert Street,
372,books,Bakka-Phoenix Books,Harbord Street,
373,dry_cleaning,Towne Dry Cleaners,St. Clair Avenue East,
374,furniture,Hauser Contemporary Furniture,Merton Street,
375,convenience,Hasty Market,Redpath Avenue,
376,supermarket,Whole Foods Market,Avenue Road,
377,chocolate,adam & eve chocolatier,Maitland Street,
378,vacant,Friends Fine Foods & Groceries,Yonge Street,
379,hairdresser,Hair Dynasty,Yonge Street,
380,alcohol,LCBO,Spadina Avenue,
381,copyshop,Kwik Kopy Design and Print Centre,Adelaide Street West,
382,clothes,New York Fur,Adelaide Street West,
383,convenience,Joy Convenience,Bay Street,
384,vacant,Saffron Tree Fine Indian Cuisine,Gerrard Street West,
385,greengrocer,Fruits Basket,Yonge Street,
386,car_repair,Canadian Tire Auto Service,Yonge Street,
387,supermarket,Valu-mart,Bayview Avenue,
388,beauty,Top Queen Nails,Lawrence Avenue East,
389,clothes,Malabar Theatrical Costumes,McCaul Street,
390,books,Ben McNally,Bay Street,
391,clothes,RW&CO.,Yonge Street,
392,music,Steve's Music Store,Queen Street West,
393,dry_cleaning,Metro Cleaners,Lawrence Avenue East,
394,pet,Queen West Animal Hospital,Queen Street West,
395,tattoo,See Ya Studio,Yonge Street,
396,toys,Little Peeps,Queen Street East,
397,hairdresser,Joseph's Barber & Hairstyling,Queen Street East,
398,dry_cleaning,Platis Cleaners,Queen Street East,
399,coffee,Omnia Coffee Roasters,Queen Street East,
400,clothes,509 Dancewear,Parliament Street,
401,books,BMV,Edward Street,
402,vacant,South Indian Dosa Mahal Restaurant,Bloor Street West,
403,supermarket,EconomyFruit,Bloor Street West,
404,supermarket,Yogas Meat,Kennedy Road,
405,bakery,Poondi Bread,Kennedy Road,
406,laundry,KenMark Coin Laundry,Kennedy Road,
407,copyshop,Kwik Kopy,Jarvis Street,
408,beauty,New You,Yonge Street,
409,convenience,Corner Kitchen,Wellesley Street East,
410,vacuum_cleaner,Vacuum King,Mount Pleasant Road,
411,convenience,Better Bulk,Danforth Avenue,
412,tattoo,Southside Ink,Lake Shore Boulevard West,
413,bicycle,Cycle Solutions,Kingston Road,
414,bakery,Celena's Bakery,Danforth Avenue,
415,music,Remenyi House of Music,Bloor Street West,
416,investments,Edward Jones,Warden Avenue,
417,car_repair,Mr. Lube,Sheppard Avenue East,
418,greengrocer,Plank Road Market,Danforth Avenue,
419,condos,Five Condominiums,St. Joseph Street,
420,convenience,Circle K,Scarlett Road,
421,supermarket,Longo's,King Street West,
422,convenience,Queen Mini Mart,Queen Street West,
423,alcohol,LCBO,Hanna Avenue,
424,travel_agency,Kemptville Travel,Eglinton Avenue West,
425,bag,Bentley,Yonge Street,
426,books,Indigo,Bloor Street West,
427,video,Bay Street Video,Bay Street,
428,convenience,Food Plus Market,Yonge Street,
429,cannabis,Soul Rebel,Eglinton Avenue East,
430,department_store,Giant Tiger,Kennedy Road,
431,mobile_phone,Telus,Sheppard Avenue East,
432,car,Ferrari Maserati of Toronto,Avenue Road,
433,furniture,Structube,Avenue Road,
434,furniture,Potato Skins,Yonge Street,
435,massage,The Massage Therapy Boutique,Penrose Road,
436,florist,Rosedale Kennedy Flowers,Mount Pleasant Road,
437,health_food,Green Natural Health and Nutrition Centre,Mount Pleasant Road,
438,vacant,Marlin Travel,Bay Street,
439,optician,Cristall Opticians,Bay Street,
440,vacant,Shah’s Halal Food,Duncan Street,
441,furniture,ergoCentric,King Street East,
442,copyshop,First Copy,College Street,
443,copyshop,Reflex Copy & Digital Printing,Bay Street,
444,sports,Skiis and Biikes,Yonge Street,
445,convenience,MAA Variety,Yonge Street,
446,pet,Global Pet Foods,Yonge Street,
447,dry_cleaning,Sketchley Cleaners,Dundas Street West,
448,beauty,Everest Nail Salon,Dundas Street West,
449,mobile_phone,Ming Wireless,Dundas Street West,
450,furniture,Mille Luce Designs Inc.,Yonge Street,
451,travel_agency,Uniglobe Travel,Yonge Street,
452,shoes,Shoesette,Yonge Street,
453,vacant,Carlson Wagonlit,Yonge Street,
454,hairdresser,Topcuts,Yonge Street,
455,tanning,Midnight Sun Tanning Salon,Yonge Street,
456,optician,Optic Creations,Yonge Street,
457,florist,Grower's Flower Market & Gifts,Avenue Road,
458,printing,Signs & Prints,Bay Street,
459,hairdresser,Venus Nails & Esthetics,Bay Street,
460,hairdresser,My Touch Beauty Spa & Salon,Wellesley Street West,
461,art,Native Art,Wellesley Street West,
462,chemist,Cosmetic World,Yonge Street,
463,furniture,Paul's Ontario Furniture Warehouse,Keele Street,
464,shoes,D&M Footwear,Yonge Street,
465,hairdresser,Ralph's Barber Shop,Wellesley Street West,
466,hairdresser,iQ Salon Scavo,Yonge Street,
467,tanning,Bellair Tan,Yonge Street,
468,bed,Sleep Country,Yonge Street,
469,sports,Running Room,Yonge Street,
470,convenience,7-Eleven,Carlton Street,
471,mobile_phone,Bell,Bayview Avenue,
472,massage,Sutherland-Chan Clinic,Yonge Street,
473,optician,Tonic Eye Care & Vision Therapy,Yonge Street,
474,beauty,Pedimani Nail Spa,Yonge Street,
475,clothes,Arc'teryx,Queen Street West,
476,vacant,Holy Cow Steakhouse,Queen Street West,
477,clothes,Pink,Queen Street West,
478,stationery,printandpaper.com,Bloor Street West,
479,hairdresser,André Pierre,Bloor Street West,
480,vacant,McMaster University,Bloor Street West,
481,vacant,The Healthy Butcher,Eglinton Avenue West,
482,furniture,Au Lit Fine Linens,Yonge Street,
483,hairdresser,Caesar Hair Design,Yonge Street,
484,hairdresser,Solo Bace,Yonge Street,
485,electronics,Aden,Yonge Street,
486,vacant,Convenience Milk,Yonge Street,
487,kitchen,Binns Kitchen + Bath Design,Bay Street,
488,dry_cleaning,Excelsior Cleaners,Bay Street,
489,toys,Strategy Games & Accessories,Mount Pleasant Road,
490,boxes,The Box Spot,Mount Pleasant Road,
491,books,Coles,Sheppard Avenue East,
492,mobile_phone,Bell,Sheppard Avenue East,
493,mobile_phone,Rogers,Sheppard Avenue East,
494,clothes,Aritzia,Sheppard Avenue East,
495,seafood,Pisces Gourmet,Yonge Street,
496,shoes,New Balance,Yonge Street,
497,vacant,i.D. Eyewear,Yonge Street,
498,computer,Midtown Digital,Yonge Street,
499,cosmetics,Essence de Beauté,Yonge Street,
500,clothes,Urban Outfitters,Queen Street West,
501,convenience,Brothers Convenience,Queen Street West,
502,hairdresser,Joe's Men's Hairstylist,Grenville Street,
503,convenience,Bellair Coffee Plus Convenience,Bay Street,
504,video_games,EB Games,Yonge Street,
505,jewelry,Downtown Jewellery Mart,Yonge Street,
506,clothes,Kingsport Big & Tall Clothiers,Eglinton Avenue West,
507,greengrocer,Fresh Harvest,Eglinton Avenue West,
508,convenience,H Mart,Yonge Street,
509,health_food,Tavazo Dried Nuts & Fruits,Yonge Street,
510,hairdresser,Ho Team Nails Hair Beauty Salon,Wellesley Street East,
511,wine,Wine Rack,Wellesley Street East,
512,hairdresser,Terminal Barber Shop 2,Dundas Street West,
513,bakery,Phipps Bakery Cafe,Eglinton Avenue West,
514,summer_camp,Camp Walden,Limestone Crescent,
515,department_store,Winners,Bloor Street West,
516,craft,DeSerres,Spadina Avenue,
517,hairdresser,Lee's Hair Salon,St. Clair Avenue West,
518,clothes,Diesel,Yorkville Avenue,
519,cosmetics,MAC Cosmetics,Queen Street West,
520,clothes,Aritzia,Queen Street West,
521,clothes,The Great Canadian Sox Shop,Queen Street West,
522,massage,Stillwater A Park Hyatt Spa,Avenue Road,
523,hairdresser,Yäda Hair Salon,Davenport Road,
524,furniture,The European Furniture,Keele Street,
525,curtain,Mayfair Drapery & Rug,Keele Street,
526,car_parts,Too Fast Auto Accessories & Performance Parts,Keele Street,
527,bakery,Brazil Bakery And Pastry Ltd,Dundas Street West,
528,convenience,S Market,College Street,
529,vacant,Mamma's Pizza,Eglinton Avenue East,
530,vacant,The Source,Eglinton Avenue East,
531,vacant,CIBC,Eglinton Avenue East,
532,vacant,Frame Express,Eglinton Avenue East,
533,convenience,Bayview Jug Milk,Bayview Avenue,
534,hairdresser,Kim's Nails Salon Too,Bayview Avenue,
535,hearing_aids,Global Hearing Aid Clinic,Bayview Avenue,
536,dry_cleaning,Golden Thread Dry Cleaners,Queens Quay West,
537,dry_cleaning,Lincare Dry Cleaners Ltd.,Queens Quay West,
538,sports,Running Room,Hanna Avenue,
539,furniture,west elm,Atlantic Avenue,
540,hairdresser,King Barberia,King Street West,
541,paint,Benjamin Moore,King Street West,
542,hairdresser,Topcuts,King Street East,
543,massage,Beauty Buzz Studio,King Street East,
544,variety_store,Your Dollar Store With More,East Liberty Street,
545,furniture,Imperial Carpet & Home Inc.,Caledonia Road,
546,hearing_aids,MG Hearing Systems Inc.,Lawrence Avenue West,
547,massage,CCMH Toronto Student Intern Clinic,Davisville Avenue,
548,optician,Eyeglass World,St. Clair Avenue West,
549,car,Gyro Mazda,Laird Drive,
550,deli,European Eatery & Delights,Yonge Street,
551,hairdresser,Church Street Barber Shop,Church Street,
552,hairdresser,J Z Hair Design,Church Street,
553,photography,Forest Hill Photos,Spadina Road,
554,hearing_aids,Hearing Solutions,St. Clair Avenue East,
555,seafood,Yonge Seafood Gourmet,Yonge Street,
556,paint,Sherwin-Williams,Queen Street East,
557,convenience,Park Discount,Queen Street East,
558,furniture,Coxwell Furniture,Coxwell Avenue,
559,sports,L&M Taylor Soccer,Yonge Street,
560,hairdresser,House of Dumont Hair Studio,Carlton Street,
561,jewelry,Pinto Cash For Gold And Jewellery Buyers,Yonge Street,
562,clothes,Higher Ground For Kids,Yonge Street,
563,clothes,Fairweather,Yonge Street,
